id_,date,week,hour,store_name,current_popular,business_distinct_code,business_area_code
ChIJKYHZ_F-jfDUR_40VICw04tQ,2019-12-5,1,23:00:00,CADILLAC HOUSE SEOUL,0,D,1001120
ChIJfzajpe2ifDURYWKnoGMYY24,2019-12-5,1,23:00:00,Starbucks,0,D,1001209
ChIJA7c8JWKjfDUR206Y5h70iXw,2019-12-5,1,23:00:00,Indie Beer Factory,0,D,1001210
ChIJsU_2tjyjfDURAqCUytJngrQ,2019-12-5,1,23:00:00,파스텔,14,D,1001211
ChIJ6wgNtuiifDUR-UvZYgUfAe4,2019-12-5,1,23:00:00,Craft Hans Jonggak,0,D,1001213
ChIJg9y7y-iifDURJdiOwOYa1W4,2019-12-5,1,23:00:00,Hollys Coffee,0,D,1001213
ChIJuwSn6eiifDURJl6QuQ1wVTo,2019-12-5,1,23:00:00,Starbucks,0,D,1001213
ChIJQRWFw9yifDURUlelSZv68mM,2019-12-5,1,23:00:00,Aladdin Used Bookstore jongrojeom,0,D,1001213
ChIJedDgSumifDURnOlaQDnoZMs,2019-12-5,1,23:00:00,Youngpoong Bookstore Jongno,0,D,1001214
ChIJU0z82eyifDUR1AoQ7xHjmcg,2019-12-5,1,23:00:00,루이비통 서울동화면세점,0,D,1001215
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,23:00:00,하이모 영등포지점,0,D,1001121
ChIJb4NIkuikfDURjKDyl7ZyI3M,2019-12-5,1,23:00:00,르샵 롯데건대스타시티점,0,D,1001161
ChIJ45WEZ_-lfDUR_GuuKGidH6U,2019-12-5,1,23:00:00,아트박스 스타시티,0,D,1001161
ChIJyf4tjOikfDURT96LHyldoIA,2019-12-5,1,23:00:00,Lotte Department Store,0,D,1001161
ChIJq1kJIuakfDURMJjijr6zAUI,2019-12-5,1,23:00:00,시리즈 롯데스타시티,0,D,1001161
ChIJb4NIkuikfDURNTWhVvNquC4,2019-12-5,1,23:00:00,비비안 롯데백화점 스타시티점,0,D,1001161
ChIJb4NIkuikfDURVM_i9a9q030,2019-12-5,1,23:00:00,헤드 건대스타시티,0,D,1001161
ChIJb4NIkuikfDURVThwt_w7Vqw,2019-12-5,1,23:00:00,엠비오 롯데스타시티,0,D,1001161
ChIJb4NIkuikfDURJP85NLm51WE,2019-12-5,1,23:00:00,코오롱스포츠 롯데스타시티점,0,D,1001161
ChIJb4NIkuikfDURI2_htcIYHxU,2019-12-5,1,23:00:00,K-SWISS 롯데스타시티,0,D,1001161
ChIJb4NIkuikfDURlToR08lVOHE,2019-12-5,1,23:00:00,데상트 롯데백화점스타시티,0,D,1001161
ChIJRymNjuikfDURddGDxWw60pQ,2019-12-5,1,23:00:00,노스페이스 롯데 스타시티점,0,D,1001161
ChIJMbwmE26cfDURIraIzP1vVNU,2019-12-5,1,23:00:00,PAT 강서NC점,0,D,1001194
ChIJDWB-DW6cfDURrjylDga8_Dg,2019-12-5,1,23:00:00,튜브 NC강서점,0,D,1001194
ChIJ3W-aEm6cfDURJJkfulObOyg,2019-12-5,1,23:00:00,슈펜 강서NC점,0,D,1001194
ChIJDWB-DW6cfDURujKueLymiow,2019-12-5,1,23:00:00,NC백화점 강서점,0,D,1001194
ChIJnRZwpGuifDURxHhLtQ0Q9gI,2019-12-5,1,23:00:00,금강제화상설매장 남영점,0,D,1001168
ChIJE9QNSGuifDURgb4Zb20YhGY,2019-12-5,1,23:00:00,Krispy Kreme,0,D,1001168
