상권_구분_코드,상권_코드,상권_코드_명,keyword
A,1000994,올림픽로71길,올림픽로71길
A,1000995,올림픽로77길,올림픽로77길
A,1000996,올림픽로78길,올림픽로78길
A,1000997,올림픽로80길,올림픽로80길
A,1000328,삼양로20길,삼양로20길
A,1000313,화랑로32길,화랑로32길
A,1000314,화랑로40길,화랑로40길
A,1000382,상계로12길,상계로12길
A,1000383,상계로1길,상계로1길
A,1000094,마장로39길,마장로39길
A,1000167,천호대로129길,천호대로129길
A,1000774,여의대방로46길,여의대방로46길
A,1000238,동일로163길,동일로163길
A,1000239,망우로68길,망우로68길
A,1000240,망우로73길,망우로73길
A,1000241,면목로21길,면목로21길
A,1000242,면목로33길,면목로33길
A,1000243,면목로45길,면목로45길
A,1000247,면목로56길,면목로56길
A,1000990,양재대로91길,양재대로91길
A,1000563,강서로5가길,강서로5가길
A,1000846,강남대로8길,강남대로8길
A,1000647,부일로1길,부일로1길
A,1000648,새말로18길,새말로18길
A,1000649,신도림로13길,신도림로13길
A,1000650,오류로8길,오류로8길
A,1000998,올림픽로98길,올림픽로98길
A,1000653,중앙로1길,중앙로1길
A,1000752,사당로26길,사당로26길
A,1000680,시흥대로68길,시흥대로68길
A,1000829,조원로10길,조원로10길
A,1000519,목동동로12길,목동동로12길
A,1000520,목동동로8길,목동동로8길
A,1000521,목동로19길,목동로19길
A,1000140,능동로3길,능동로3길
A,1000141,능동로4길,능동로4길
A,1000142,동일로18길,동일로18길
A,1000143,동일로24길,동일로24길
A,1000144,뚝섬로23길,뚝섬로23길
A,1000732,영신로9길,영신로9길
A,1000554,강서로15길,강서로15길
A,1000555,강서로17가길,강서로17가길
A,1000556,강서로18길,강서로18길
A,1000216,한천로40길,한천로40길
A,1000168,경희대로3길,경희대로3길
A,1000169,경희대로4길,경희대로4길
A,1000170,난계로30길,난계로30길
A,1000022,창신2길,창신2길
A,1000651,우마길,우마길
A,1000616,개봉로3길,개봉로3길
A,1000518,목동남로4길,목동남로4길
A,1000492,양화로1길,양화로1길
A,1000493,양화진길,양화진길
A,1000494,와우산로29가길,와우산로29가길
A,1000495,와우산로29길,와우산로29길
A,1000496,와우산로3길,와우산로3길
A,1000729,영등포로62길,영등포로62길
A,1000501,월드컵로25길,월드컵로25길
A,1000502,월드컵로36길,월드컵로36길
A,1000503,월드컵로7길,월드컵로7길
A,1000504,월드컵로8길,월드컵로8길
A,1000688,당산로31길,당산로31길
A,1000689,당산로37길,당산로37길
A,1000830,조원로18길,조원로18길
A,1000062,우사단로10길,우사단로10길
A,1000063,우사단로14길,우사단로14길
A,1000028,난계로11길,난계로11길
A,1000029,난계로21길,난계로21길
A,1000766,성대로1길,성대로1길
A,1000870,서초대로23길,서초대로23길
A,1000245,면목로49길,면목로49길
A,1000626,구로동로15길,구로동로15길
A,1000627,구로동로28길,구로동로28길
A,1000628,구로동로38길,구로동로38길
A,1000629,구로동로41길,구로동로41길
A,1000630,구로동로42길,구로동로42길
A,1000871,서초대로25길,서초대로25길
A,1000841,양지길,양지길
A,1000497,월드컵로10길,월드컵로10길
A,1000498,월드컵로11길,월드컵로11길
A,1000581,국회대로7길,국회대로7길
A,1000816,신림로11길,신림로11길
A,1000817,신림로28길,신림로28길
A,1000818,신림로38길,신림로38길
A,1000819,신림로48길,신림로48길
A,1000780,관악로10길,관악로10길
A,1000781,관악로14길,관악로14길
A,1000938,학동로6길,학동로6길
A,1000939,학동로77길,학동로77길
A,1000613,개봉로20길,개봉로20길
